artist,0,1,2,3,4,5,6,7,8,9
Amigo the Devil,0.001309003216322349,0.0,0.0,0.0,4.400444950057741e-06,0.0005074784004935141,0.0,0.0,0.0,5.935665570938163e-05
Amir Obè,0.03416299537216509,0.0,0.0,0.0,0.0,2.6958267223309414e-05,0.0,0.0,0.03137606647578462,0.0
Amit Trivedi,0.0,0.0,0.0,0.0,0.0,0.0,1.9980082722562903e-06,0.0,0.00022311169565446932,0.0
Amos Lee,0.0,0.0,0.0,0.02323078827517978,0.4923877150722715,0.032017072369135806,0.0,0.0,0.0,0.004291560879650861
Amy MacDonald,0.0,0.0,0.0,0.0,0.16015008475946596,0.0,0.0,0.0,0.0,0.0
Amy Shark,0.0,0.0,0.0,0.00986452191841614,0.0,0.0,0.0,0.0,0.00010472982107804545,0.0045655950470239945
Amy Winehouse,0.0,0.0,0.0,0.0,0.0,7.465281962867083e-05,0.06951723512775958,0.0,0.016241479241383756,0.0
Andra Day,0.0,0.0,0.0,0.0,0.0,0.0,0.13667538071024873,0.0,0.0,0.0
Andreana Čekić,0.0,0.0,0.0,1.3695338300651542e-08,0.0,0.0,0.0,0.0,0.0,2.964217920275766e-07
Andrew Lippa,0.0,1.855858760079322e-07,0.0,2.8039872874375383e-05,0.0,0.0,1.1892879595756937e-05,1.753750739923546e-05,0.0,3.1191679864778996e-06
Andrew Lloyd Webber,0.0,1.216030965323994e-06,0.0,0.000717823965410293,0.0,0.0,0.0,4.565925376827385e-05,0.0,0.0
André Hazes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012249882566462418,0.0
Angel Olsen,0.0,0.0027110029404612958,0.29473514879904517,0.022098819937805932,0.31463214456968286,0.0,0.0,0.0,0.10068460324273434,0.0011547057218416184
Angellina,0.0,0.0,0.0,1.3695338300651544e-08,0.0,0.0,0.0,0.0,0.0,2.9642179202757663e-07
Angels & Airwaves,0.0,0.0,0.0,0.017528928266764884,0.039819363376467194,0.04300533002234475,0.0,0.0,0.0,0.017485869008119718
Anggun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137997562124962e-05,0.0
Angie McMahon,0.0,0.0,0.0,0.009793453180485757,0.0,0.0,0.0,0.0,0.0012323337493609086,0.004702723416842205
Angèle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anilyst,0.004439390449493914,0.0,0.0,0.0018956966793429943,0.0,7.801687368701266e-05,0.0,0.0,0.0,0.0
Animal Collective,0.0,0.0,0.6641958964742924,0.0,0.1629046729833317,0.048406127702620046,0.0,0.0,0.020972789001309267,0.0
Animus,0.0,0.0,0.0,6.547800958445366e-06,0.0,0.0,0.0,0.0,0.0,3.5305377726120735e-05
Anitta,0.0,3.8612550833803775e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.6963340398897674e-05,0.0
Anivar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5478567037546146e-05,4.731374808093447e-06
Ann Marie,0.0018781634479318535,0.0,0.0,0.0,0.0,0.0,0.029502681439448848,0.0,0.015762658788355633,0.0
Anna Wise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009064056850292,0.0
Annie LeBlanc,0.0,0.0,0.0,0.008067325016347871,0.0,0.0,0.0,0.0,0.0,0.0
Anouk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012254796449533687,0.0
Anson Seabra,0.0,0.0,0.0,0.1704675946119311,0.0,0.0,0.0,0.0,0.0,0.0
Ant Wan,0.0,0.0,0.0,0.00011424438684943717,0.0,0.0,0.0,0.0,0.0,0.00017434411796786708
Anthem Lights,0.0,0.0,0.0,0.012983332500854695,0.009659221284440661,0.01468031720831747,0.0,0.0,0.0,0.0
Anthony Amorim,0.0,0.0,0.10810850142873621,0.0,0.00407990098124618,0.0,0.0,0.0,0.0,0.0
Anthony Gonzalez & Gael García Bernal,0.0,0.0,0.0,3.681013784973251e-05,0.0,0.0,0.0,2.9971885009012646e-05,0.0,0.0
Antônio Carlos Jobim,0.0,0.003895206902499148,0.0,0.0,0.0,0.0,0.01786830821835621,0.0,0.0,0.00205181173208117
Apache 207,0.0,0.0,0.0,6.4795620830367565e-06,0.0,0.0,0.0,0.0,0.0,3.3808300823399033e-05
Apashe,0.0,0.0,0.00015123388246010303,0.0014128115615714837,0.0,4.338513386142134e-05,0.0,0.0,0.0,0.0
Apocalyptica,0.0,0.0,0.0,0.0,0.0,0.15505037433744853,0.0,0.0,0.0,0.0
Arctic Monkeys,0.0,0.039018637603452595,0.10494001961311536,0.0,0.0,0.18430826080211649,0.0,0.0,0.0,0.07237837402606319
Arcángel & Bad Bunny,0.0,0.0,0.0,0.002725335916457812,0.0,0.0,0.0020445214046210572,0.0006451513094311505,0.0,0.0
Ard Adz,0.00013380052941619136,0.0,0.0,1.3912205082071363e-05,0.0,0.0,0.0,0.00243579617482969,6.899313939022593e-06,0.0
Ardian Bujupi & Elvana Gjata,0.0,0.0,0.0,6.534529847270366e-06,0.0,0.0,0.0,0.0,0.0,3.497937234086008e-05
Ari Lasso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.098160949859281e-05,0.0
Ariana Grande,0.0,0.0,0.0,0.35138125170441276,0.0,0.0,0.0,0.0,0.0,0.0
Ariana Grande & Chaka Khan,0.0,0.0,0.0,0.35138125170441276,0.0,0.0,0.0,0.0,0.0,0.0
Ariana Grande & John Legend,0.0,0.0,0.0,0.35138125170441276,0.0,0.0,0.0,0.0,0.0,0.0
Ariel Camacho Y Los Plebes Del Rancho,0.0,0.0,0.0,8.452452507538329e-07,0.0,0.0,0.0,0.0,0.0,0.0
Arizona Zervas,0.11604482953712561,0.0,0.0,0.0115668832335594,0.0,0.0,0.015712589827697045,0.0,0.0013419010864247109,0.0
Army of the Pharaohs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13071408675080612,0.0,0.0
Articolo 31,0.0,0.0,0.0,3.260253070769146e-05,0.0,0.0,0.0,0.0,0.0,0.00037669299197434515
As I Lay Dying,0.0,0.0,0.0,0.0,0.0,0.3034200651162027,0.0,0.0,0.0,0.0
Ashafar,0.0,0.0,0.0,3.727006075860854e-06,0.0,0.0,0.0,0.0,3.882978118130714e-05,0.0
Ashanti,0.19382015699512117,0.0,0.0,0.25417189811516233,0.0,0.0,0.40252396873347107,0.0825256838283501,0.0,0.0
Ashe,0.0,0.0,0.15066990738057848,0.06714156105378936,0.0,0.0,0.0,0.0,0.0784139462171086,0.0
Ashley McBryde,0.0,0.0009186410627459501,0.0,0.0017451723095332785,6.846956625554056e-05,0.0,0.0,0.0,0.0,0.0
Ashnikko,0.0,0.0,0.0,0.0,0.0,6.869149017883343e-06,0.0,0.00409553123452528,0.11081678861170449,0.0
Aspova,0.0,0.0,0.0,0.0,9.522530857138443e-07,0.0,0.0,0.0,0.0,9.136761948644927e-07
At The Drive-In,0.0,0.0,0.2517317413763406,0.0,0.0,0.2954070781306689,0.000414159956071176,0.0,0.0,0.0
Ati242,0.0,0.0,0.0,0.0,9.522530857138443e-07,0.0,0.0,0.0,0.0,9.136761948644927e-07
Atlas,0.0,0.0,0.10882607086298154,0.0,0.0039373104184741246,0.0,0.0,0.0,0.0,0.0
